species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,37.8,18.3,174,3400,female,2007
Adelie,37.7,18.7,180,3600,male,2007
Adelie,35.9,19.2,189,3800,female,2007
Adelie,38.2,18.1,185,3950,male,2007
Adelie,38.8,17.2,180,3800,male,2007
Adelie,35.3,18.9,187,3800,female,2007
Adelie,40.6,18.6,183,3550,male,2007
Adelie,40.5,17.9,187,3200,female,2007
Adelie,37.9,18.6,172,3150,female,2007
Adelie,40.5,18.9,180,3950,male,2007
Adelie,39.6,17.7,186,3500,female,2008
Adelie,40.1,18.9,188,4300,male,2008
Adelie,35,17.9,190,3450,female,2008
Adelie,42,19.5,200,4050,male,2008
Adelie,34.5,18.1,187,2900,female,2008
Adelie,41.4,18.6,191,3700,male,2008
Adelie,39,17.5,186,3550,female,2008
Adelie,40.6,18.8,193,3800,male,2008
Adelie,36.5,16.6,181,2850,female,2008
Adelie,37.6,19.1,194,3750,male,2008
Adelie,35.7,16.9,185,3150,female,2008
Adelie,41.3,21.1,195,4400,male,2008
Adelie,37.6,17,185,3600,female,2008
Adelie,41.1,18.2,192,4050,male,2008
Adelie,36.4,17.1,184,2850,female,2008
Adelie,41.6,18,192,3950,male,2008
Adelie,35.5,16.2,195,3350,female,2008
Adelie,41.1,19.1,188,4100,male,2008
Adelie,35,17.9,192,3725,female,2009
Adelie,41,20,203,4725,male,2009
Adelie,37.7,16,183,3075,female,2009
Adelie,37.8,20,190,4250,male,2009
Adelie,37.9,18.6,193,2925,female,2009
Adelie,39.7,18.9,184,3550,male,2009
Adelie,38.6,17.2,199,3750,female,2009
Adelie,38.2,20,190,3900,male,2009
Adelie,38.1,17,181,3175,female,2009
Adelie,43.2,19,197,4775,male,2009
Adelie,38.1,16.5,198,3825,female,2009
Adelie,45.6,20.3,191,4600,male,2009
Adelie,39.7,17.7,193,3200,female,2009
Adelie,42.2,19.5,197,4275,male,2009
Adelie,39.6,20.7,191,3900,female,2009
Adelie,42.7,18.3,196,4075,male,2009
Gentoo,46.1,13.2,211,4500,female,2007
Gentoo,50,16.3,230,5700,male,2007
Gentoo,48.7,14.1,210,4450,female,2007
Gentoo,50,15.2,218,5700,male,2007
Gentoo,47.6,14.5,215,5400,male,2007
Gentoo,46.5,13.5,210,4550,female,2007
Gentoo,45.4,14.6,211,4800,female,2007
Gentoo,46.7,15.3,219,5200,male,2007
Gentoo,43.3,13.4,209,4400,female,2007
Gentoo,46.8,15.4,215,5150,male,2007
Gentoo,40.9,13.7,214,4650,female,2007
Gentoo,49,16.1,216,5550,male,2007
Gentoo,45.5,13.7,214,4650,female,2007
Gentoo,48.4,14.6,213,5850,male,2007
Gentoo,45.8,14.6,210,4200,female,2007
Gentoo,49.3,15.7,217,5850,male,2007
Gentoo,42,13.5,210,4150,female,2007
Gentoo,49.2,15.2,221,6300,male,2007
Gentoo,46.2,14.5,209,4800,female,2007
Gentoo,48.7,15.1,222,5350,male,2007
Gentoo,50.2,14.3,218,5700,male,2007
Gentoo,45.1,14.5,215,5000,female,2007
Gentoo,46.5,14.5,213,4400,female,2007
Gentoo,46.3,15.8,215,5050,male,2007
Gentoo,42.9,13.1,215,5000,female,2007
Gentoo,46.1,15.1,215,5100,male,2007
Gentoo,44.5,14.3,216,4100,,2007
Gentoo,47.8,15,215,5650,male,2007
Gentoo,48.2,14.3,210,4600,female,2007
Gentoo,50,15.3,220,5550,male,2007
Gentoo,47.3,15.3,222,5250,male,2007
Gentoo,42.8,14.2,209,4700,female,2007
Gentoo,45.1,14.5,207,5050,female,2007
Gentoo,59.6,17,230,6050,male,2007
Gentoo,49.1,14.8,220,5150,female,2008
Gentoo,48.4,16.3,220,5400,male,2008
Gentoo,42.6,13.7,213,4950,female,2008
Gentoo,44.4,17.3,219,5250,male,2008
Gentoo,44,13.6,208,4350,female,2008
